,ESTADO,MUNICIPIO,MUJERES_INSEGURAS,TOTAL_MUJERES,TRIMESTRES,PERCEPCION_INSEGURIDAD,FEMINICIDIO,VIOLENCIA_FAMILIAR,VIOLENCIA_GENERO,TOTAL_DELITOS,POBLACION,FECHA
14,Ciudad de mexico,Azcapotzalco,126,147,2022-Q1,85714.28571428571,0.22425899222494075,95.31007169559982,0.0,95.53433068782475,445913,2022-01-01
15,Ciudad de mexico,Benito juarez,39,138,2022-Q1,28260.86956521739,0.0,63.71000836618971,0.0,63.71000836618971,441061,2022-01-01
16,Ciudad de mexico,Coyoacan,78,144,2022-Q1,54166.666666666664,0.0,84.80517770817835,0.0,84.80517770817835,653262,2022-01-01
17,Ciudad de mexico,Cuajimalpa de morelos,60,133,2022-Q1,45112.781954887214,0.0,70.5205266794771,0.0,70.5205266794771,211286,2022-01-01
18,Ciudad de mexico,Cuauhtemoc,86,131,2022-Q1,65648.85496183205,0.17697893419746247,116.0981808335354,0.0,116.27515976773284,565039,2022-01-01
19,Ciudad de mexico,Gustavo a. madero,113,160,2022-Q1,70625.0,0.08169827845387642,90.60339080534895,0.0,90.68508908380284,1224016,2022-01-01
20,Ciudad de mexico,Iztacalco,104,144,2022-Q1,72222.22222222222,0.24146715443031863,123.87265022275344,0.0,124.11411737718377,414135,2022-01-01
21,Ciudad de mexico,Iztapalapa,122,146,2022-Q1,83561.64383561644,0.10623475863197251,74.41744842169675,0.0,74.52368318032872,1882623,2022-01-01
22,Ciudad de mexico,La magdalena contreras,100,139,2022-Q1,71942.44604316546,0.0,117.74944964931143,0.0,117.74944964931143,253929,2022-01-01
23,Ciudad de mexico,Miguel hidalgo,95,155,2022-Q1,61290.32258064516,0.0,67.26698073826704,0.0,67.26698073826704,419225,2022-01-01
24,Ciudad de mexico,Milpa alta,88,158,2022-Q1,55696.20253164557,0.6910659000442283,110.57054400707652,0.0,111.26160990712074,144704,2022-01-01
